article_title_eng,article_eng,article_title_kor,article_kor
Article 19 (Objection against Decision to Dismiss Objection),"(1) A person raising an objection who is dissatisfied with a decision to dismiss his/her objection under Article 18 (4) may file a lawsuit for objection against the applicant for partition with the competent court within three weeks from the date he/she receives the authentic copy of the written decision: Provided, That the foregoing shall not apply where the person who filed an objection pursuant to Article 18 (2) 3 fails to file for the lawsuit referred to in Article 18 (3) within the specified period.(2) If a court finds that a lawsuit filed pursuant to paragraph (1) is sustainable, it shall render a judgment to revoke the decision to commence partition under Article 16.(3) Article 18 (7) (excluding provisions regarding the service of the authentic copy of a written decision) and (8) shall apply mutatis mutandis when a judgment rendered pursuant to paragraph (2) to revoke a decision to commence partition becomes final and conclusive.",제19조(이의신청기각결정에 대한 불복),"① 제18조제4항에 따른 기각결정에 불복하는 이의신청인은 그 결정서정본을 받은 날부터 3주 이내에 관할 법원에 분할신청인을 상대로 이의의 소를 제기할 수 있다. 다만, 제18조제2항제3호에 따른 이의신청을 한 자가 같은 조 제3항에 따른 소를 그 기간 이내에 제기하지 아니한 경우에는 그러하지 아니하다.② 법원은 제1항에 따른 소에 대하여 이유가 있다고 인정하는 경우에는 제16조에 따른 분할개시결정을 취소하는 판결을 하여야 한다.③ 제2항에 따라 분할개시결정을 취소하는 확정판결이 있는 때에는 제18조제7항(결정서정본의 송달에 관한 사항은 제외한다) 및 같은 조 제8항을 준용한다."
Article 20 (Objection against Decisions to Dismiss Application for Partition etc.),(1) An applicant dissatisfied with a decision to dismiss an application for partition under Article 16 (1) or a ruling to revoke a decision to commence partition under Article 18 (5) may file a lawsuit seeking the commencement of partition against all other co-owners with the competent court within three weeks from the date he/she receives the authentic copy of the written decision.(2) Article 16 (3) (excluding provisions regarding the service of the authentic copy of a written decision) and (4) shall apply mutatis mutandis when a judgment rendered to commence partition in a lawsuit filed pursuant to paragraph (1) becomes final and conclusive.,제20조(분할신청기각결정 등에 대한 불복),① 제16조제1항에 따른 분할신청기각결정 또는 제18조제5항에 따른 분할개시결정취소결정에 불복이 있는 신청인은 그 결정서정본을 받은 날부터 3주 이내에 관할 법원에 나머지 공유자 전원을 상대로 분할개시를 구하는 소를 제기할 수 있다.② 제1항에 따라 제기한 소에서 분할개시의 확정판결이 있는 때에는 제16조제3항(결정서정본의 송달에 관한 사항은 제외한다) 및 같은 조 제4항을 준용한다.
Article 21 (Final Decisions on Commencement of Partition),"(1) A decision to commence partition shall become final and conclusive in any of the following cases:1. If no objection is raised within the period specified in Article 18 (1);2. If no lawsuit for objection is filed for within the period specified in Article 19 (1);3. If a judgment to dismiss an objection becomes final and conclusive in a lawsuit filed for objection pursuant to Article 19 (1).(2) No co-owner shall be allowed to make an assertion that partition shall be made by any method other than the partition under this Act in cases specified in paragraph (1) and where a judgment to commence partition becomes final and conclusive in a lawsuit filed pursuant to Article 20 (1): Provided, That the foregoing shall not apply where otherwise agreed by all co-owners.",제21조(분할개시의 확정),"① 분할개시의 결정은 다음 각 호의 어느 하나에 해당하는 경우에 확정된다.1. 제18조제1항에 따른 기간 이내에 이의신청이 없는 경우2. 제19조제1항에 따른 기간 이내에 이의의 소를 제기하지 아니한 경우3. 제19조제1항에 따른 이의의 소에서 기각의 확정판결이 있는 경우② 공유자는 제1항의 경우와 제20조제1항에 따른 소에서 분할개시의 확정판결이 있는 경우에는 이 법에 따른 분할 외의 방법으로 분할할 것을 주장할 수 없다. 다만, 공유자 전원의 합의가 있는 경우에는 그러하지 아니하다."
CHAPTER IV CADASTRAL SURVEYS AND PROTOCOL OF PARTITION,,제4장 측량 및 분할조서,
Article 22 (Investigations and Cadastral Surveys),"(1) If a decision to commence partition becomes final and conclusive pursuant to Article 21 (1) or if a judgment to commence partition becomes final and conclusive in a lawsuit filed pursuant to Article 20 (1), the competent cadastral authority shall conduct investigations and cadastral surveys of the following matters:1. The current status of each co-owner's share and interests therein;2. The area occupied by each co-owner, boundary lines of each area, or the current status of occupation;3. Portions provided actually for private roads or for other public purposes (hereinafter referred to as ""private roads, etc."");4. Other necessary matters regarding partition, liquidation, etc.(2) If the competent cadastral authority deems it necessary for investigations and cadastral surveys conducted pursuant to paragraph (1), it may demand co-owners or occupants to submit data or may conduct fact-finding investigations.(3) When the competent cadastral authority conducts investigations and cadastral surveys pursuant to paragraph (1), it shall give prior notice of the date and time of investigations and cadastral surveys and the information that co-owners, occupants and interested parties may attend the investigations and cadastral surveys and express their opinions to each co-owner or occupants and interested parties.",제22조(조사와 측량),"① 지적소관청은 제21조제1항에 따라 분할개시의 결정이 확정되거나 제20조제1항에 따른 소에서 분할개시의 확정판결이 있는 때에는 다음 각 호의 사항을 조사ㆍ측량하여야 한다.1. 공유자별 공유지분 현황 및 이에 대한 이해관계2. 공유자별 점유면적ㆍ경계선이나 그 밖의 점유현황3. 사설도로나 그 밖에 공공의 용도에 사실상 제공되고 있는 부분(이하 ""사설도로등""이라 한다)의 현황4. 그 밖에 분할 및 청산 등에 관하여 필요한 사항② 지적소관청은 제1항에 따른 조사ㆍ측량을 함에 있어서 필요한 때에는 공유자 또는 점유자에 대하여 자료의 제출을 요구하거나 사실조사를 할 수 있다.③ 지적소관청은 제1항에 따른 조사ㆍ측량을 함에 있어서 미리 각 공유자 또는 점유자와 이해관계인에게 그 일시와 조사ㆍ측량에 참석하여 의견을 진술할 수 있다는 것을 통지하여야 한다."
Article 23 (Investigations and Cadastral Surveys regarding Current Status of Occupation of Co-owners),"(1) Investigations and cadastral surveys regarding the matters specified in Article 22 (1) 2 shall be based on walls and other current boundaries of occupation: Provided, That if an agreement referred to in the proviso to Article 5 (1) or (2) has been made, investigation and cadastral surveys may be conducted according to such agreement.(2) A portion of land occupied jointly by at least two owners shall be deemed a parcel for the purposes of conducting a cadastral survey.(3) If the competent cadastral authority finds, as a result of an investigation of the current status of occupation by each co-owner, that portions occupied by each co-owner are not clearly identifiable or that only portions occupied by some co-owners are identified, it may demand co-owners who possess the portions not clearly identifiable or the portions not identified to make an agreement thereon pursuant to Article 5 (2) within a specified period.(4) If an agreement is made pursuant to paragraph (3), cadastral surveys shall be conducted in accordance with the agreement: Provided, That if co-owners fail to reach an agreement, such portions of land shall be deemed a parcel for the purposes of conducting a cadastral survey.(5) In cases falling under paragraphs (1) through (4), a portion of land of which a co-owner permits a third party to take possession shall be deemed occupied by the co-owner.",제23조(공유자별 점유현황의 조사ㆍ측량),"① 제22조제1항제2호의 사항을 조사ㆍ측량함에 있어서는 담장, 그 밖에 현재의 점유경계를 기준으로 하되 제5조제1항 단서 또는 같은 조 제2항에 따른 합의가 있는 경우에는 그 합의에 따라 조사ㆍ측량한다.② 2명 이상의 공유자가 공동으로 점유하는 토지부분은 이를 한 필지로 하여 측량한다.③ 지적소관청은 각 공유자의 점유현황을 조사한 결과 점유부분의 특정여부가 분명하지 아니하거나 일부 공유자의 점유부분만이 특정되어 있는 경우에는 그 분명하지 아니하거나 특정되지 아니한 부분의 공유자에 대하여 기간을 정하여 제5조제2항에 따른 합의를 요구할 수 있다.④ 제3항에 따른 합의가 이루어진 때에는 그 합의에 따라 측량한다. 다만, 합의가 이루어지지 아니한 때에는 해당 토지부분은 한 필지로 하여 측량한다.⑤ 제1항부터 제4항까지의 경우 공유자가 제3자로 하여금 점유하게 한 토지부분은 그 공유자가 점유한 것으로 본다."
"Article 24 (Investigations and Cadastral Surveys regarding Private Roads, etc.)","(1) Private roads, etc. shall be deemed possessed jointly by co-owners who possess the portion of land actually used for such benefits (including persons who are expected to use such private roads, etc. by acquiring a portion of land pursuant to Article 25; the same shall apply hereinafter), and cadastral surveys of such private roads, etc. shall be separately conducted: Provided, That if all such co-owners make an agreement, cadastral surveys of such private roads, etc. shall be conducted in proportion to the portion of land possessed by each co-owner according to the agreement.(2) A portion obviously used only for the benefit of a portion of land actually possessed by one of co-owners in private roads, etc. shall be deemed possessed by the co-owner, and thus cadastral surveys of such portion shall be conducted in proportion to the portion actually possessed.(3) The competent cadastral authority shall conduct investigations and cadastral surveys of the following matters, taking into consideration the location and current status of private roads, etc., the location and entrances of buildings, the current status of public roads, and other surrounding circumstances in conducting cadastral surveys pursuant to paragraphs (1) and (2):1. Whether the private roads, etc. at issue are used only for the benefits of the portion actually possessed by some co-owners or used for the benefits of the portion of land possessed by all co-owners;2. Whether any of the following persons exists and, if such person exists, whether an area deemed included in private roads, etc. exists in the area identified as such person's share:(a) A co-owner who is original owner of land and has sold his/her co-owned land by a parcel or his/her successor who does not actually occupy any portion of land;(b) A co-owner who is original owner of land and has sold a portion of his/her co-owned land by a parcel or his/her successor who occupies a specific portion of the co-owned land.",제24조(사설도로등의 조사ㆍ측량),"① 사설도로등은 실제로 그 편익에 이용되고 있는 토지부분을 점유하는 공유자(제25조에 따른 토지부분을 배분받아 해당 사설도로등을 사용하게 될 자를 포함한다. 이하 같다)들이 공동으로 점유하고 있는 것으로 보아 독립하여 이를 측량한다. 다만, 그 공유자 전원의 합의가 있는 경우에는 그 합의에 따라 각 공유자들의 점유부분에 배분하여 측량할 수 있다.② 사설도로등 중 실제로 공유자 중 1명이 점유하는 토지부분의 편익으로만 이용되고 있는 것이 명백한 부분은 이를 그 공유자가 점유한 것으로 보아 그 점유부분에 배분하여 측량한다.③ 지적소관청은 제1항 및 제2항에 따른 측량을 함에 있어서 사설도로등의 위치 및 현황, 건물의 위치 및 출입구, 공로(公路)의 현황, 그 밖에 주위의 사정을 고려하여 다음 각 호의 사항을 조사ㆍ확인하여야 한다.1. 해당 사설도로등이 실제로 일부 공유자들이 점유하는 토지부분의 편익에만 이용되고 있는지 또는 공유자 전원이 점유하는 토지부분의 편익에 이용되고 있는지의 여부2. 다음 각 목의 어느 하나에 해당하는 자가 있는지의 여부와 그에 해당하는 자가 있는 경우 그 공유지분해당면적 중 사설도로등에 포함되어 있다고 인정되는 면적이 있는지의 여부가. 원래 그 공유토지를 분산매도한 당초의 토지소유자 또는 그 승계인으로서 실제 점유부분이 없는 공유자나. 원래 그 공유토지의 일부를 분산매도한 당초의 토지소유자 또는 그 승계인으로서 공유토지의 특정부분을 점유하고 있는 공유자"
Article 25 (Cadastral Survey of Portion of Land Unoccupied),"(1) A portion of land unoccupied by any co-owner or occupied by a third party without title (excluding private roads, etc.) shall be deemed possessed jointly by the following co-owners, and cadastral surveys of such portion shall be deemed one parcel or at least two parcels depending upon the status quo: Provided, That if all co-owners make an agreement, cadastral surveys of such portion may be conducted in proportion to each co-owner's share according to the agreement:1. A co-owner who does not actually occupy a portion;2. A co-owner who actually occupies a portion smaller than the area equivalent to his/her share.(2) If it is found that the whole area equivalent to the share of a person specified in any item of Article 24 (3) 2 (the difference between the area actually occupied and the area equivalent to the share in cases falling under Article 24 (3) 2 (b)) is included in private roads, etc., such owner shall be excluded from co-owners specified in paragraph (1).",제25조(점유자 없는 토지부분의 측량),"① 공유토지 중 이를 점유하는 공유자가 없거나 제3자가 권원 없이 점유하는 토지부분(사설도로등은 제외한다)은 다음 각 호의 공유자가 공동으로 점유하고 있는 것으로 보아 그 현상에 따라 이를 하나의 필지 또는 여러 필지로 측량한다. 다만, 이들 공유자 전원의 합의가 있는 때에는 그 합의에 따라 각 공유자에게 배분하여 측량할 수 있다.1. 실제 점유부분이 없는 공유자2. 실제 점유부분이 그 공유지분해당면적에 미달되는 공유자② 제24조제3항제2호 각 목의 어느 하나에 해당하는 공유자로서 그 공유지분해당면적(제24조제3항제2호나목의 경우에는 실제 점유면적과 그 공유지분해당면적과의 차이면적)의 전부가 사설도로등에 포함되어 있다고 인정되는 공유자는 제1항 각 호의 공유자에서 제외한다."
Article 26 (Preparation of Protocol of Subdivision),"(1) When the competent cadastral authority completes an investigation and cadastral survey pursuant to Articles 22 through 25, it shall prepare a protocol of partition and submit the protocol to the Committee without delay for resolution thereon.(2) A protocol of partition under paragraph (1) shall contain the following matters:1. The current status of occupation by co-owners, the share of each co-owner, the area equivalent to the share, and the details of interested parties' interests therein;2. The area of land to be distributed to each co-owner by partition according to the investigations and cadastral surveys conducted pursuant to Articles 22 through 25 or the current status of other matters and temporary lot numbers for the portion to be subdivided;3. The portion to be separately divided for private roads, etc. and the temporary lot number for such portion;4. Cadastral survey products;5. Matters regarding liquidation in cases falling under Article 40 (1);6. Matters regarding the cost of partition under Article 43 (1).(3) In describing matters specified in paragraph (2) 2, the portions of land referred to in Article 23 (2), the proviso to Article 23 (4), and Article 25 (1) (excluding cases specified in the proviso thereto) shall be deemed jointly owned by the relevant co-owners, and the ratio of each co-owner's share and the area equivalent to the share shall be indicated thereon. In such cases, the ratio of each owner's share in the portion of land referred to in Article 23 (2) or the proviso to Article 23 (4) shall be based on the co-owner's original share, while the ratio of each co-owner's share in the portion of land referred to in Article 25 (1) shall be based on the difference between the area actually occupied and the area equivalent to the co-owner's share.(4) In describing matters specified in paragraph (2) 3, relevant private roads, etc. shall be deemed jointly possessed by co-owners referred to in Article 24 (1) (excluding cases specified in the proviso thereto), and the ratio of each co-owner's share and the area equivalent to the share shall be indicated thereon. In such cases, the ratio of each co-owner's share shall be based on the area of the portion of land of which relevant private roads, etc. are actually used for benefits.",제26조(분할조서의 작성),"① 지적소관청은 제22조부터 제25조까지의 규정에 따라 조사ㆍ측량을 완료한 때에는 지체 없이 분할조서를 작성하여 위원회에 회부하고 그 의결을 얻어야 한다.② 제1항에 따른 분할조서에는 다음 각 호의 사항을 기재하여야 한다.1. 공유자의 현황, 각 공유자의 공유지분과 그 해당 면적 및 이에 대한 이해관계인의 이해관계 내용2. 제22조부터 제25조까지의 규정에 따라 조사ㆍ측량한 각 공유자에게 분할할 토지의 면적이나 그 밖의 그 현황과 분할할 부분에 대한 임시지번3. 독립하여 사설도로등으로 분할할 부분과 이에 대한 임시지번4. 지적측량성과5. 제40조제1항에 따른 사유가 있는 경우에는 그 청산에 관한 사항6. 제43조제1항에 따른 분할비용에 관한 사항③ 제2항제2호에 따른 사항을 기재함에 있어서 제23조제2항ㆍ제4항 단서 및 제25조제1항(단서의 경우는 제외한다)에 따른 토지부분에 대하여는 이를 해당 공유자들의 공유로 하여 각자의 공유지분 비율 및 이에 해당하는 면적을 표시하여야 한다. 이 경우의 공유지분 비율은 제23조제2항 및 제4항 단서에 따른 토지부분에 있어서는 원래의 공유지분을 기준으로 하고, 제25조제1항에 따른 토지부분에 있어서는 실제 점유면적과 공유지분해당면적과의 차이면적을 기준으로 한다.④ 제2항제3호에 따른 사항을 기재함에 있어서는 해당 사설도로등을 제24조제1항(단서의 경우를 제외한다)에 따른 공유자들의 공유로 하여 그 공유지분 비율 및 이에 해당하는 면적을 표시하여야 한다. 이 경우 공유지분 비율은 해당 사설도로등이 실제로 그 편익에 이용되고 있는 토지부분의 면적을 기준으로 한다."
Article 27 (Description of Matters regarding Liquidation),"(1) The following matters shall be indicated in describing matters specified in Article 26 (2) 5:1. The area by which the land to be distributed to each co-owner involved by partition (including the area equivalent to each co-owner's share under Article 26 (3) and (4)) exceeds, or falls short of, the area equivalent to each co-owner's share registered in the relevant registry and the amount to be paid for liquidation thereof;2. The ground for the calculation of the liquidation money under Article 40 (2);3. Where it is unnecessary to pay the liquidation money pursuant to Article 41 (1), the reasons therefor. (2) In describing the liquidation money referred to in paragraph (1) 1, if an agreement on the liquidation money referred to in the proviso to Article 5 (1) or Article 5 (2) exists or if it is possible to specify each co-owner who shall pay, or is entitled to, the liquidation money and the amount thereof, such persons and amount shall be individually indicated.",제27조(청산에 관한 사항의 기재),① 제26조제2항제5호에 따른 사항을 기재함에 있어서는 다음 각 호의 사항을 표시하여야 한다.1. 해당 각 공유자에게 분할할 토지의 면적(제26조제3항 및 제4항에 따른 공유지분면적을 포함한다)이 등기부상의 공유지분해당면적을 초과하거나 부족한 면적과 그에 대하여 청산할 금액2. 제40조제2항에 따른 청산금의 산정근거3. 제41조제1항에 따라 청산금을 지급하지 아니하는 경우에는 그 사유② 제1항제1호에 따른 청산금을 기재함에 있어서 제5조제1항 단서 또는 같은 조 제2항에 따른 청산금에 관한 합의가 있는 등 각 공유자별로 청산금을 지급 또는 수령할 자와 그 금액이 특정될 수 있는 경우에는 이를 개별적으로 표시하여야 한다.
Article 28 (Calculation of Area Equivalent to Share),"If it is found, as a result of a cadastral survey of co-owned land, that the actual area contrary to the area registered in the relevant register, the actual area according to the result of the cadastral survey shall be deemed the original area equivalent to each co-owner's share for the purposes of partition under this Act. In such cases, the area equivalent to the ratio of each co-owner' share to the actual area according to the result of a cadastral survey shall be deemed the original area equivalent to each co-owner's share.",제28조(공유지분해당면적의 계산),이 법에 따른 분할에 있어서 공유토지의 측량결과 그 실제면적이 등기부상의 면적과 다른 때에는 측량결과에 의한 실제면적을 해당 공유지분의 당초면적으로 본다. 이 경우 그 측량결과에 의한 실제면적에 대한 각 공유자의 공유지분비율해당면적을 당초의 공유지분해당면적으로 본다.
Article 29 (Service and Public Notice of Certified Copies of Protocol),"(1) When a protocol of partition is adopted by resolution pursuant to Article 26 (1), the competent cadastral authority shall serve a certified copy of the protocol of partition on each co-owner and interested parties without delay, along with a document informing that co-owned land shall be subdivided and liquidated in accordance with the protocol of partition and notifying that a co-owner or interested party may file an objection pursuant to Article 30 and the deadline for filing such petition for objection.(2) When a protocol of partition is adopted by resolution pursuant to Article 26 (1), the competent cadastral authority shall give a public notice of the following matter for at least two weeks, as prescribed by Presidential Decree:1. The descriptions of the relevant co-owned land and statements that an application for partition has been filed pursuant to Article 14 and that a decision to commence partition has been made pursuant to Article 16;2. Statements that the protocol of partition has been prepared according to a resolution by the Committee and that partition and liquidation shall be made in accordance with the protocol of subdivision;3. A statement that a co-owner or interested party may file an objection pursuant to Article 30 and the deadline for filing an objection.",제29조(조서등본의 송달 및 공고),① 지적소관청은 제26조제1항에 따른 분할조서의 의결이 있는 때에는 분할조서등본에 그 분할조서의 내용대로 분할 및 청산한다는 취지와 제30조에 따른 이의신청을 할 수 있다는 취지 및 기한을 기재한 서면을 첨부하여 지체 없이 각 공유자 및 이해관계인에게 송달하여야 한다.② 지적소관청은 제26조제1항에 따른 분할조서의 의결이 있는 때에는 대통령령으로 정하는 바에 따라 다음 각 호의 사항을 2주 이상 공고하여야 한다.1. 해당 공유토지의 표시 및 제14조에 따른 분할신청과 제16조에 따른 분할개시결정이 있다는 취지2. 위원회의 의결을 거쳐 분할조서를 작성하였다는 취지와 그 내용대로 분할 및 청산한다는 취지3. 제30조에 따른 이의신청을 할 수 있다는 취지와 그 기한
Article 30 (Written Objections against Protocol of Subdivision),"(1) A co-owner or interested party who has an objection against a protocol of partition may file a written objection with the competent cadastral authority, stating the grounds for objection in detail, within two weeks from the date on which the authentic copy of the protocol of partition is served pursuant to Article 29 (1). In such cases, the competent cadastral authority shall forward the written objection to the Committee without delay.(2) A written objection referred to in paragraph (1) may be filed only where a person has an objection to any content of a protocol of partition or the proceedings for resolution by the Committee, such as the investigations and cadastral surveys, the adjustment of the portions occupied, or the preparation of a protocol of partition under Articles 22 through 27.",제30조(분할조서에 대한 이의신청),"① 분할조서에 이의가 있는 공유자 및 이해관계인은 제29조제1항에 따른 분할조서등본이 송달된 날부터 2주 이내에 이의사유를 구체적으로 명시한 서면에 의하여 지적소관청에 이의신청을 할 수 있다. 이 경우 지적소관청은 지체 없이 이의신청서를 위원회에 회부하여야 한다.② 제1항에 따른 이의신청은 제22조부터 제27조까지의 규정에 따른 조사ㆍ측량, 점유부분의 조정 또는 분할조서의 작성 등 분할조서의 내용이나 위원회의 의결절차에 이의가 있는 경우에만 할 수 있다."
"Article 31 (Decisions, etc. on Filing an Objection)","(1) The Committee shall determine whether to accept an objection filed pursuant to Article 30 (1) within four weeks from the date of filing such objection. In such cases, the competent cadastral authority shall serve the authentic copy of the written decision of the Committee to the petitioner without delay.(2) When the Committee intends to make a decision pursuant to paragraph (1), it shall hear opinions from relevant co-owners and interested parties thereon in advance.(3) When the Committee decides to sustain a petition, the competent cadastral authority shall rectify the relevant provision of the protocol of partition and shall serve a certified copy of the rectified protocol of partition without delay to each relevant co-owner and interested party.",제31조(이의신청의 결정 등),"① 위원회는 제30조제1항에 따른 이의신청에 대하여 그 이의신청일부터 4주 이내에 인용여부를 결정하여야 한다. 이 경우 지적소관청은 지체 없이 위원회의 결정서정본을 신청인에게 송달하여야 한다.② 위원회는 제1항에 따른 결정을 할 때에는 미리 신청인과 관련 공유자 및 이해관계인의 의견을 들어야 한다.③ 지적소관청은 위원회가 인용결정을 한 때에는 분할조서의 해당부분을 정정하고, 신청인과 관련 공유자 및 이해관계인에게 정정한 분할조서등본을 지체 없이 송달하여야 한다."
"Article 32 (Appeal to Decision, etc.)","(1) A person who is dissatisfied with a decision made under Article 31 may file a lawsuit for objection with the competent court against all co-owners (or against only co-owners involved, if the grounds for appeal are related only to some co-owners), stating the grounds in detail, within three weeks from the date on which the authentic copy of the written decision or the certified copy of the protocol of partition is served. In such cases, the person shall submit the duplicate of complaint and a certificate of filing a lawsuit to the competent cadastral authority.(2) A lawsuit referred to in paragraph (1) may be filed only where a ground for objection specified in Article 30 (2) exists.(3) If a court finds that an objection to a protocol of partition is sustainable in a lawsuit referred to in paragraph (1), it shall render a judgment to determine the relationship of rights and interest, while it shall render a judgment to revoke the resolution if the Committee's proceedings for resolution are found groundless.(4) When a judgment made under paragraph (3) to revoke a resolution becomes final and conclusive, the competent cadastral authority shall forward the judgment to the Committee for resolution without delay.(5) Article 31 (3) shall apply mutatis mutandis where a judgment to finalize the relationship of rights and interest under paragraph (3) is rendered.",제32조(결정에 대한 불복 등),"① 제31조에 따른 결정내용에 불복이 있는 자는 그 결정서정본 또는 분할조서등본을 받은 날부터 3주 이내에 그 사유를 구체적으로 명시하여 관할 법원에 공유자 전원을 상대(불복하는 사유가 일부 공유자에 한정하여 관련되는 경우에는 그 관련 공유자만을 상대로 한다)로 이의의 소를 제기할 수 있다. 이 경우 그 소장부본과 제소증명서를 지적소관청에 제출하여야 한다.② 제1항에 따른 소는 제30조제2항에 따른 이의사유가 있을 때만 할 수 있다.③ 법원은 제1항에 따른 소에서 분할조서의 내용에 대한 이의가 이유있는 경우에는 그 권리관계를 확정하는 판결을 하여야 하며, 위원회의 의결절차에 위법이 있는 경우에는 그 의결을 취소하는 판결을 하여야 한다.④ 지적소관청은 제3항에 따른 취소판결이 확정된 때에는 지체 없이 이를 위원회에 회부하여 의결을 얻어야 한다.⑤ 제3항의 권리관계를 확정하는 판결이 있는 때에는 제31조제3항의 규정을 준용한다."
Article 33 (Final Protocol of Partition),"(1) A protocol of partition (referring to a rectified protocol of partition, if a protocol of partition is rectified pursuant to Article 31 (3) or 32 (5)) shall become final and conclusive in any of the following cases:1. Where no objection is filed within the period specified in Article 30 (1);2. Where no lawsuit for objection is filed for pursuant to Article 32 (1);3. Where a judgment on objection referred to in Article 32 (excluding a judgment to revoke a protocol of partition under Article 32 (3)) becomes final and conclusive.(2) If the dissatisfaction with an objection filed pursuant to Article 30 (1) or a lawsuit for objection filed pursuant to Article 32 (1) is related to the liquidation money or the cost of partition referred to in Article 26 (2) 5 or 6, the protocol of partition, excluding the part of dissatisfaction, shall become final and conclusive.",제33조(분할조서의 확정),① 분할조서(제31조제3항 또는 제32조제5항에 따른 정정이 있는 경우에는 그 정정된 분할조서를 말한다)는 다음 각 호의 어느 하나에 해당하는 경우에 확정된다.1. 제30조제1항에 따른 기간 이내에 이의신청이 없는 경우2. 제32조제1항에 따른 이의의 소의 제기가 없는 경우3. 제32조에 따른 이의의 소의 확정판결(제32조제3항의 취소판결은 제외한다)이 있는 경우② 제30조제1항에 따른 이의신청 또는 제32조제1항에 따른 이의의 소에서 그 불복하는 내용이 제26조제2항제5호 또는 제6호에 따른 청산금 또는 분할비용에 관한 것일 때에는 그 불복하는 부분을 제외한 분할조서는 확정된다.
Article 34 (Effect of Partition),"(1) When a protocol of partition becomes final and conclusive, the relevant co-owned land shall be partitioned according to the provisions of the protocol of partition, and the rights and interests, except ownership, existing on each co-owner's share shall continue to exist in the portion of land that each co-owner acquires by partition.(2) If a co-owner's share is subject to a mortgage, the mortgage may be exercised against the liquidation money to which the co-owner is entitled in accordance with the final protocol of partition. In such cases, the liquidation money shall be seized before it is paid.(3) Attachment, provisional attachment, or provisional disposition over a co-owner's share shall also be enforceable to the portion of land that the co-owner acquires by partition and to the liquidation money to which the co-owner is entitled.(4) No right, other than ownership, existing over the whole of co-owned land shall be affected by partition under this Act.",제34조(분할의 효과),① 분할조서가 확정된 때에는 그 공유토지는 분할조서의 내용대로 분할되며 공유지분 위에 존속하는 소유권 외의 권리는 그 공유자가 분할취득하는 토지부분 위에 집중하여 존속한다.② 공유지분 위에 저당권이 설정되어 있는 경우에 그 저당권은 그 공유자가 확정된 분할조서에 의하여 받게 되는 청산금에 대하여도 행사할 수 있다. 이 경우 그 청산금의 지급 전에 이를 압류하여야 한다.③ 공유지분에 대한 압류ㆍ가압류ㆍ가처분은 확정된 분할조서에 의하여 공유자가 분할취득하는 토지부분과 공유자가 받게 되는 청산금에 대하여도 그 효력을 미친다.④ 공유토지 전부에 존속하는 소유권 외의 권리는 이 법에 따른 분할에 의하여 영향을 받지 아니한다.
Article 35 (Effect of Protocol of Partition to Successors and Indication of Successors),"(1) A final protocol of partition shall be effective against a person who acquires a co-owner's share or an interested party who acquires any right, other than ownership, on a co-owner's share after a decision to commence partition is registered pursuant to Article 17.(2) When a person who has acquired a co-owner's share or an interested party, as referred to paragraph (1), reports and proves the existence of his/her right, the competent cadastral authority shall indicate the successor or new interested party in the relevant protocol of partition.(3) If deemed necessary to request the registration of partition pursuant to Article 37, the competent cadastral authority may inspect the register of the relevant co-owned land and indicate a successor or new interested party referred to in paragraph (2) even without filing a report pursuant to paragraph (2).",제35조(분할조서의 승계인에 대한 효력 및 승계인의 표시),① 확정된 분할조서는 제17조에 따른 분할개시결정등기 이후에 공유지분을 취득한 자 또는 그에 대한 소유권 외의 권리를 취득한 이해관계인에 대하여도 그 효력이 있다.② 지적소관청은 제1항에 따른 공유지분취득자 또는 이해관계인이 그 권리를 증명하여 신고하는 때에는 해당 분할조서에 그 승계인이나 새로운 이해관계인의 표시를 하여야 한다.③ 지적소관청은 제37조에 따른 분할등기의 촉탁을 위하여 필요한 때에는 제2항에 따른 신고가 없는 때에도 해당 공유토지의 등기부를 확인하여 제2항에 따른 승계인이나 새로운 이해관계인의 표시를 할 수 있다.
Article 36 (Adjustment of Cadastral Records),"(1) When a protocol of partition becomes final and conclusive pursuant to Article 33, the competent cadastral authority shall adjust the relevant cadastral records according to the protocol of partition without delay. In such cases, if the land area exceeds or falls short of that prescribed by Article 28, the area registered in the relevant cadastral records shall be first rectified and adjusted.(2) If an application for partition is filed along with an agreement by which all co-owners agree that no liquidation shall be made, a protocol of partition may become final and conclusive without resolution on the protocol of partition under Article 26 after making a decision to commence partition, and the relevant cadastral record may be adjusted according to the protocol of partition.",제36조(지적공부의 정리),① 제33조에 따라 분할조서가 확정된 때에는 지적소관청은 분할조서에 따라 지체 없이 지적공부를 정리하여야 한다. 이 경우 제28조에 따른 면적에 과부족이 있는 토지에 대하여는 지적공부상의 면적을 먼저 정정ㆍ정리하여야 한다.② 공유자 전원이 청산을 하지 아니하기로 한 합의서를 첨부하여 분할신청을 하는 경우에는 분할개시의 결정 후 제26조에 따른 분할조서의 의결 없이 분할조서를 확정하여 지적공부를 정리할 수 있다.
"CHAPTER V REGISTRATION OF PARTITION, ETC.",,제5장 분할등기 등,
