article_title_eng,article_eng,article_title_kor,article_kor
Article 25 (Cancellation of Permission for Use or Profit-Making),"(1) Where any person who has obtained permission to use or profit from administrative property pursuant to Article 20 (1) falls under any of the following, the head of a local government may revoke such permission:1. Where he or she allows another person to use or profit from the administrative property for which permission for use or profit-making has been granted, in violation of Article 20 (3);2. Where he or she neglects the management of the relevant administrative property or violates the purpose of its use;3. Where he or she alters the original state of the administrative property for which permission for use or profit-making has been granted, without obtaining approval of the head of the relevant local government;4. Where he or she is found to have obtained permission by making a false statement, submitting any false documentary evidence, or engaging in any other improper conduct;5. Where he or she fails to pay usage fees within the payment deadline prescribed in Article 22 (2).(2) Where administrative property for which permission for use or profit-making has been granted is directly required by the State or a local government for its official or public use, the head of the local government may revoke such permission.(3) Where a person who has obtained permission for use or profit-making suffers a loss due to revocation referred to in paragraph (2), compensation shall be paid as prescribed by Presidential Decree.(4) Where the head of a local government revokes permission for using or profit-making from administrative property, which has been donated, under paragraph (1) or (2), and if there is a person using or profiting from such administrative property under the proviso of Article 20 (3), the head of the local government shall notify him or her of such revocation.[This Article Wholly Amended on Dec. 26, 2008]",제25조(사용ㆍ수익허가의 취소),"① 지방자치단체의 장은 제20조제1항에 따라 행정재산의 사용ㆍ수익허가를 받은 자가 다음 각 호의 어느 하나에 해당하면 그 허가를 취소할 수 있다.1. 사용ㆍ수익의 허가를 받은 행정재산을 제20조제3항을 위반하여 다른 사람에게 사용ㆍ수익하게 한 경우2. 해당 행정재산의 관리를 게을리하였거나 그 사용 목적에 위배되게 사용한 경우3. 지방자치단체의 장의 승인 없이 사용ㆍ수익의 허가를 받은 행정재산의 원상을 변경한 경우4. 거짓 진술, 거짓 증명서류의 제출, 그 밖의 부정한 방법으로 그 허가를 받은 사실이 발견된 경우5. 제22조제2항에 따른 납부기한까지 사용료를 내지 아니한 경우② 지방자치단체의 장은 사용ㆍ수익을 허가한 행정재산을 국가나 지방자치단체가 직접 공용 또는 공공용으로 사용하기 위하여 필요로 하게 된 경우에는 그 허가를 취소할 수 있다.③ 제2항의 경우에 그 취소로 인하여 해당 허가를 받은 자에게 손실이 발생한 경우에는 대통령령으로 정하는 바에 따라 보상한다.④ 지방자치단체의 장은 제1항 또는 제2항에 따라 사용ㆍ수익허가를 취소한 경우 그 행정재산이 기부채납된 행정재산으로서 제20조제3항 단서에 따라 이를 사용ㆍ수익하고 있는 자가 있을 때에는 그 사용ㆍ수익자에게 취소의 사실을 알려야 한다.[전문개정 2008. 12. 26.]"
Article 26 (Hearings),"Where the head of a local government intends to revoke permission to use or profit from any administrative property pursuant to Article 25 (1), he or she shall hold a hearing thereon.[This Article Wholly Amended on Dec. 26, 2008]",제26조(청문),지방자치단체의 장은 제25조제1항에 따라 행정재산의 사용ㆍ수익허가를 취소하려면 청문을 하여야 한다.[전문개정 2008. 12. 26.]
Article 27 (Entrustment of Management of Administrative Property),"(1) Where it is deemed necessary for the efficient management of administrative property, the head of a local government may entrust the management of such property (hereinafter referred to as ""entrustment of management"") to a person other than a local government, as prescribed by Presidential Decree.(2) The head of a local government shall entrust the management of administrative property under paragraph (1) by an open competitive bid: Provided, That where it is deemed necessary in view of the purpose, nature, and scale of a contract, regional characteristics, etc., the eligibility to participate in a bid may be limited, or a restrictive tender or private contract may be used, as prescribed by Presidential Decree. <Newly Inserted on Jan. 20, 2015>(3) Where the head of a local government entrusts the management of administrative property under paragraph (1), he or she may calculate and collect entrustment fees each year as prescribed by Presidential Decree. <Newly Inserted on Jan. 20, 2015>(4) A person who has been entrusted with the management of administrative property under paragraph (1) shall be deemed to have obtained permission to use or profit from such administrative property under Article 20. <Newly Inserted on Feb. 4, 2010; Jan. 20, 2015>(5) A person deemed to have obtained permission to use or profit from administrative property pursuant to paragraph (4) may sublease the administrative property to a third party to the extent that he or she does not violate the terms of entrustment of management. <Newly Inserted on Feb. 4, 2010; Jan. 20, 2015>(6) A person who has been entrusted with management pursuant to paragraph (1) may collect usage fees after obtaining approval of the head of the relevant local government in advance to cover expenses for the management; or where the income from usage fees has grown due to efficient management, etc. of the administrative property, a person entrusted with management may take all or part of the increased income as his or her income. <Amended on Feb. 4, 2010; Jan. 20, 2015>(7) A local government may grant subsidies to a person entrusted with management to cover the expenses incurred therein. <Amended on Feb. 4, 2010; Jan. 20, 2015>(8) The following matters shall be prescribed by Presidential Decree: <Amended on Feb. 4, 2010; Jan. 20, 2015>1. The qualifications of a person for being entrusted with management;2. The duration of entrustment of management, and the management of entrusted property;3. Payment of expenses using usage fees prescribed in paragraph (6);4. Taking all or part of an increase in the income from usage fees as the income of a person entrusted with management;5. Other necessary matters regarding the entrustment of management.[This Article Wholly Amended on Dec. 26, 2008]",제27조(행정재산의 관리위탁),"① 지방자치단체의 장은 행정재산의 효율적인 관리를 위하여 필요하다고 인정하면 대통령령으로 정하는 바에 따라 지방자치단체 외의 자에게 그 재산의 관리를 위탁(이하 “관리위탁”이라 한다)할 수 있다.② 지방자치단체의 장은 제1항에 따라 행정재산을 관리위탁하는 경우에는 일반입찰로 하여야 한다. 다만, 계약의 목적ㆍ성질ㆍ규모 및 지역 특수성 등을 고려하여 필요하다고 인정되면 대통령령으로 정하는 바에 따라 참가자의 자격을 제한하거나 참가자를 지명하여 입찰에 부치거나 수의계약을 할 수 있다. <신설 2015. 1. 20.>③ 지방자치단체의 장은 제1항에 따라 행정재산을 관리위탁하는 경우에는 대통령령으로 정하는 바에 따라 위탁료를 산출하여 매년 징수할 수 있다. <신설 2015. 1. 20.>④ 제1항에 따라 행정재산의 관리위탁을 받은 자는 제20조에 따라 해당 행정재산의 사용ㆍ수익허가를 받은 자로 본다. <신설 2010. 2. 4., 2015. 1. 20.>⑤ 제4항에 따라 행정재산의 사용ㆍ수익허가를 받은 것으로 보는 자는 관리위탁의 조건에 위반되지 아니하는 범위에서 해당 행정재산을 제3자에게 전대(轉貸)할 수 있다. <신설 2010. 2. 4., 2015. 1. 20.>⑥ 제1항에 따라 관리위탁을 받은 자는 미리 해당 지방자치단체의 장의 승인을 받아 이용료를 징수하여 이를 관리에 드는 경비에 충당하거나, 그 행정재산의 효율적 관리 등으로 인하여 이용료 수입이 증대된 경우 그 증대된 수입의 전부 또는 일부를 관리위탁을 받은 자의 수입으로 할 수 있다. <개정 2010. 2. 4., 2015. 1. 20.>⑦ 지방자치단체는 관리위탁을 받은 자에게 관리에 드는 경비를 지원할 수 있다. <개정 2010. 2. 4., 2015. 1. 20.>⑧ 다음 각 호의 사항은 대통령령으로 정한다. <개정 2010. 2. 4., 2015. 1. 20.>1. 관리위탁을 받을 수 있는 자의 자격2. 관리위탁의 기간 및 수탁재산의 관리3. 제6항에 따른 이용료의 경비에의 충당4. 이용료 증대분의 전부 또는 일부의 위탁자 수입으로의 대체5. 그 밖에 관리위탁에 관하여 필요한 사항[전문개정 2008. 12. 26.]"
CHAPTER IV GENERAL PROPERTY,,제4장 일반재산,
SECTION 1 Common Provisions,,제1절 통칙,
Article 28 (Management and Disposal),"(1) Any general property may be lent, sold, exchanged, transferred, or trusted, or a private right may be established on it; in such cases, it may be made an object of an investment in kind or of payment in substitutes, as prescribed by statutes, regulations, or municipal ordinances.(2) Matters concerning the scope and details of establishing a private right on general property, contribution in kind, and payment in substitutes shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제28조(관리 및 처분),"① 일반재산은 대부ㆍ매각ㆍ교환ㆍ양여ㆍ신탁하거나 사권을 설정할 수 있으며, 법령이나 조례로 정하는 경우에는 현물출자 또는 대물변제를 할 수 있다.② 일반재산의 사권설정, 현물출자 및 대물변제의 범위와 내용은 대통령령으로 정한다.[전문개정 2008. 12. 26.]"
Article 29 (Methods of Contract),"(1) Any contract for lending or selling general property shall be made by an open competitive bid after providing public announcement thereof: Provided, That in cases prescribed by Presidential Decree, a nominated competitive bid or private contract may be made; in cases of securities, public sale of securities prescribed in Article 9 (9) of the Financial Investment Services and Capital Markets Act shall be used; and in cases of selling general property referred to in Article 4 (1) 2 and 3 of this Act, Article 76 (2) shall apply mutatis mutandis. <Amended on Feb. 4, 2010; Jan. 20, 2015>(2) When selling securities pursuant to the proviso of paragraph (1), matters necessary for calculating the price shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제29조(계약의 방법),"① 일반재산을 대부하거나 매각하는 계약을 체결할 때에는 그 뜻을 공고하여 일반입찰에 부쳐야 한다. 다만, 대통령령으로 정하는 경우에는 지명경쟁에 부치거나 수의계약으로 할 수 있으며, 증권의 경우에는 「자본시장과 금융투자업에 관한 법률」 제9조제9항에 따른 증권매출의 방법으로 하며, 이 법 제4조제1항제2호 및 제3호의 일반재산을 매각하는 경우에는 제76조제2항을 준용한다. <개정 2010. 2. 4., 2015. 1. 20.>② 제1항 단서에 따라 증권을 매각하는 경우 가격산정에 필요한 사항은 대통령령으로 정한다.[전문개정 2008. 12. 26.]"
Article 30 (Pricing of Property Subject to Disposal),"The price of general property to be disposed of shall be determined in consideration of the market price, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제30조(처분재산의 가격 결정),일반재산을 처분할 때 그 가격은 대통령령으로 정하는 바에 따라 시가(時價)를 고려하여 결정한다.[전문개정 2008. 12. 26.]
SECTION 2 Loan,,제2절 대부,
Article 31 (Loan Periods),"(1) The period of lending general property shall not exceed the periods classified as follows: Provided, That the foregoing shall not apply in cases prescribed by Presidential Decree to promote the local economy:1. Land and its fixtures: Five years;2. The property other than those under subparagraph 1: One year.(2) Where property is lent through a private contract under the proviso of Article 29 (1), the head of a local government may renew the loan contract before the loan period expires. In such cases, any renewed period of loan shall not exceed the loan period prescribed in paragraph (1) each time renewal is granted. <Amended on Feb. 4, 2010>(3) The head of a local government may renew a loan contract only on one occasion for a person not subject to paragraph (2) as well. In such cases, any renewed period of loan shall not exceed the loan period prescribed in paragraph (1). <Amended on Feb. 4, 2010; Jan. 7, 2014>(4) Where a person who has borrowed property falls under any of the following subparagraphs, the head of a local government may extend the loan period. In such cases, the loan period may be extended by up to the period during which such person is not able to use the property for the following reasons: <Amended on Feb. 4, 2010>1. Where he or she suffers damage due to natural disasters or other disasters;2. Where the use of the property is restricted due to causes attributable to the relevant local government.(5) Any person who intends to obtain renewal of the loan contract pursuant to paragraphs (2) and (3) or who intends to obtain an extension of the loan period pursuant to paragraph (4) shall apply to the head of the local government for the renewal of the loan contract or for an extension of the loan period at least one month prior to the expiration of the loan period. <Newly Inserted on Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제31조(대부기간),"① 일반재산의 대부는 다음 각 호의 구분에 따른 기간을 초과할 수 없다. 다만, 지역경제의 활성화를 위하여 대통령령으로 정하는 경우에는 그러하지 아니하다.1. 토지와 그 정착물: 5년2. 제1호 외의 재산: 1년② 지방자치단체의 장은 제29조제1항 단서에 따라 수의계약의 방법으로 대부한 경우에는 대부기간이 끝나기 전에 대부계약을 갱신할 수 있다. 이 경우 갱신하는 대부기간은 갱신할 때마다 제1항에 따른 대부기간을 초과할 수 없다. <개정 2010. 2. 4.>③ 지방자치단체의 장은 제2항의 적용을 받지 아니하는 자에 대하여도 1회로 한정하여 대부계약을 갱신할 수 있다. 이 경우 갱신하는 대부기간은 제1항에 따른 대부기간을 초과할 수 없다. <개정 2010. 2. 4., 2014. 1. 7.>④ 지방자치단체의 장은 대부를 받은 자가 다음 각 호의 어느 하나에 해당하는 경우에는 대부기간을 연장할 수 있다. 이 경우 연장하는 대부기간은 다음 각 호의 사유로 이용하지 못한 기간의 범위로 한다. <개정 2010. 2. 4.>1. 천재지변이나 그 밖의 재난으로 피해를 본 경우2. 해당 지방자치단체의 귀책사유로 그 재산의 이용에 제한을 받은 경우⑤ 제2항 및 제3항에 따라 대부계약을 갱신하려는 자 또는 제4항에 따라 대부기간을 연장받으려는 자는 대부기간이 끝나기 1개월 전에 지방자치단체의 장에게 대부계약의 갱신 또는 대부기간의 연장을 신청하여야 한다. <신설 2010. 2. 4.>[전문개정 2008. 12. 26.]"
Article 32 (Rental Fees),"(1) Where a contract for lending general property is concluded, rental fees shall be collected by applying the rates and calculation methods prescribed by Presidential Decree.(2) The rental fees prescribed in paragraph (1) shall be paid in a lump sum within a period prescribed by Presidential Decree: Provided, That in cases prescribed by Presidential Decree where it is deemed impracticable to require a lump sum payment of the rental fees, the rental fees may be paid in installments in the amount determined by adding the interest prescribed by Presidential Decree in consideration of the level of the interest rate of one-year term deposits.(3) Where payment in installments is allowed pursuant to the proviso of paragraph (2), it may be required to deposit guaranty money of up to a certain amount or to conclude performance guarantee insurance with the local government being the insured.[This Article Wholly Amended on Dec. 26, 2008]",제32조(대부료),"① 일반재산의 대부계약을 체결하였을 때에는 대통령령으로 정하는 요율과 산출방법에 따라 매년 대부료를 징수한다.② 제1항의 대부료는 그 전액을 대통령령으로 정하는 기간에 한꺼번에 내야 한다. 다만, 대부료 전액을 한꺼번에 내는 것이 곤란하다고 인정되어 대통령령으로 정하는 경우에는 1년 만기 정기예금 금리수준을 고려하여 대통령령으로 정하는 이자를 붙여 분할납부하게 할 수 있다.③ 제2항 단서에 따라 분할납부하게 하는 경우 일정한 금액 이하의 보증금을 예치하게 하거나 지방자치단체를 피보험자로 하는 이행보증보험을 체결하게 할 수 있다.[전문개정 2008. 12. 26.]"
Article 33 (Adjustment of Rental Fees),"(1) Where a person (his or her heir or other general successor shall be deemed the same person as his or her predecessor) continuously borrows the same general property for over one year, and if the annual rental fees for the relevant year calculated pursuant to Article 32 (1) increase by at least 5/100 compared to the annual rental fees for the preceding year, the head of a local government may reduce the rental fees by the increased amount, as prescribed by Presidential Decree. <Amended on Jan. 7, 2014>(2) Where administrative property, which is subject to paying usage fees or occupation and usage fees under other statutes, becomes subject to payment of rental fees prescribed in this Act for such reasons as repeal of use, paragraph (1) shall apply mutatis mutandis to calculating its rental fees.[This Article Wholly Amended on Dec. 26, 2008]",제33조(대부료의 조정),① 지방자치단체의 장은 동일인(상속인과 그 밖의 포괄승계인은 피승계인과 동일인으로 본다)이 같은 일반재산을 1년을 초과하여 계속 대부하는 경우 제32조제1항에 따라 산정된 해당 연도의 연간 대부료가 전년도의 연간 대부료보다 100분의 5 이상 증가한 때에는 대통령령으로 정하는 바에 따라 그 대부료의 증가분을 감액할 수 있다. <개정 2014. 1. 7.>② 다른 법률에 따른 사용료 또는 점용료의 납부대상인 행정재산이 용도 폐지 등의 사유로 이 법에 따른 대부료 납부대상으로 된 경우 그 대부료 산출에 관하여는 제1항을 준용한다.[전문개정 2008. 12. 26.]
Article 34 (Reduction of or Exemption from Rental Fees),"(1) Notwithstanding Article 32, where a loan contract of general property is concluded, its rental fees may be reduced or exempted in any of the following cases:1. Where the State or a local government intends to directly use the relevant general property for official or public use or for non-profit public service;2. Other cases prescribed by Presidential Decree and agreed by the local council, including where it is deemed necessary to promote the local economy.(2) Notwithstanding Article 32, in cases prescribed by Presidential Decree including where the property is lent to a foreign-invested enterprise, the head of a local government may wholly or partially reduce rental fees, as prescribed by ordinance of the local government. <Amended on Feb. 4, 2010>(3) Where a person who has borrowed general property is not able to use the relevant general property for a certain period due to natural disasters or other disasters, the head of a local government may reduce the rental fees and interest thereon over the period required for complete recovery from the relevant disaster by the amount calculated by applying a daily rate.[This Article Wholly Amended on Dec. 26, 2008]",제34조(대부료의 감면),① 일반재산의 대부계약을 체결할 때 다음 각 호의 어느 하나에 해당하면 제32조에도 불구하고 그 대부료를 면제할 수 있다.1. 국가나 다른 지방자치단체가 직접 해당 일반재산을 공용ㆍ공공용 또는 비영리 공익사업용으로 사용하려는 경우2. 지역경제의 활성화를 위하여 필요하다고 인정되는 경우 등 대통령령으로 정하는 경우로서 지방의회가 동의한 경우② 지방자치단체의 장은 제32조에도 불구하고 외국인투자기업에 대부하는 경우 등 대통령령으로 정하는 경우에는 지방자치단체의 조례로 정하는 바에 따라 대부료의 전부 또는 일부를 감면할 수 있다. <개정 2010. 2. 4.>③ 지방자치단체의 장은 일반재산을 대부받은 자가 천재지변이나 그 밖의 재난으로 그 재산을 일정 기간 사용하지 못하였을 때에는 복구 완료기간의 대부료와 그 이자를 일할계산하여 감경할 수 있다.[전문개정 2008. 12. 26.]
Article 35 (Termination of Loan Contracts),"(1) Where any person who has borrowed general property falls under any of the following, the head of a local government may terminate or cancel the relevant loan contract: <Amended on Feb. 4, 2010>1. Where the State or a local government needs the general property that has been lent in order to use it directly for official or public purposes;2. Where he or she who has borrowed the general property neglects the management of the relevant property or violates the purpose of its use;3. Where he or she subleases the general property that he or she has borrowed or alters its original state without obtaining approval of the head of the relevant local government;4. Where he or she is found to have concluded the relevant contract by making a false statement, submitting any false documentary evidence, or engaging in any other improper conduct;5. Where he or she fails to pay the rental fees within the payment deadline prescribed in Article 32 (2).(2) Where the head of a local government terminates or cancels a contract under paragraph (1), he or she shall take necessary measures to restore the relevant rights without delay.(3) Where the termination or cancelation of the contract for the reason prescribed in paragraph (1) 1 causes losses to the other party to the contract, the State or a local government to use the relevant property shall compensate for the losses, as prescribed by Presidential Decree.(4) Deleted. <Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제35조(대부계약의 해지 등),"① 지방자치단체의 장은 일반재산을 대부받은 자가 다음 각 호의 어느 하나에 해당하면 그 대부계약을 해지하거나 해제할 수 있다. <개정 2010. 2. 4.>1. 대부한 일반재산을 국가나 지방자치단체가 직접 공용 또는 공공용으로 사용하기 위하여 필요하게 된 경우2. 대부받은 일반재산의 관리를 게을리하였거나 그 대부 목적에 위배되게 사용한 경우3. 대부받은 일반재산을 전대하거나, 대부받은 일반재산의 원상을 지방자치단체의 장의 동의 없이 변경한 경우4. 거짓 진술, 거짓 증명서류의 제출, 그 밖의 부정한 방법으로 그 계약을 체결한 사실이 발견된 경우5. 제32조제2항에 따른 납부기한까지 대부료를 내지 아니한 경우② 지방자치단체의 장은 제1항에 따라 계약을 해지하거나 해제하면 지체 없이 그 권리의 회복에 필요한 조치를 하여야 한다.③ 제1항제1호에 해당하는 사유로 인한 계약의 해지 또는 해제가 그 상대방에게 손실을 발생하게 하였을 때에는 그 재산을 사용할 국가 또는 지방자치단체는 대통령령으로 정하는 바에 따라 그 손실을 보상하여야 한다.④ 삭제 <2010. 2. 4.>[전문개정 2008. 12. 26.]"
SECTION 3 Sale,,제3절 매각,
Article 36 (Sale of General Property),"(1) General property may be sold in cases other than the following cases: <Amended on Jan. 7, 2014>1. Where the head of a local government intends to change the use of the relevant property from general property to administrative property under subparagraph 2 of Article 11 in order to use it for administrative purposes;2. Where the disposal of general property is restricted pursuant to the National Land Planning and Utilization Act or other Acts;3. Where general property is subject to restriction on disposal provided for in the standards for operation referred to in Article 94-2 (1) in consideration of the necessity of future administrative purposes, etc.;4. In cases of property prescribed by Presidential Decree, which is designated by the head of a local government as requiring management by the local government.(2) Where general property is to be sold for public purposes, the sale may be made to a purchaser specifying the purpose of the property and the period during which the property shall be used for that purpose, as prescribed by Presidential Decree. <Newly Inserted on Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제36조(일반재산의 매각),① 일반재산은 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 매각할 수 있다. <개정 2014. 1. 7.>1. 지방자치단체의 장이 행정목적으로 사용하기 위하여 제11조제2호에 따라 일반재산을 행정재산으로 용도 변경하려는 경우2. 「국토의 계획 및 이용에 관한 법률」 등 다른 법률에 따라 그 처분이 제한되는 경우3. 장래 행정목적의 필요성 등을 고려하여 제94조의2제1항의 운영기준에서 정한 처분제한 대상에 해당하는 경우4. 그 밖에 대통령령으로 정하는 재산으로서 지방자치단체가 관리할 필요가 있다고 지방자치단체의 장이 지정하는 재산인 경우② 일반재산을 공공목적으로 매각하는 경우에는 대통령령으로 정하는 바에 따라 매수자에게 그 재산의 용도와 그 용도대로 사용하여야 할 기간을 정하여 매각할 수 있다. <신설 2010. 2. 4.>[전문개정 2008. 12. 26.]
Article 37 (Payment of Proceeds from Sale),"(1) The proceeds from the sale of any general property shall be paid in a lump sum within a period prescribed by Presidential Decree: Provided, That in cases prescribed by Presidential Decree where it is deemed impracticable to require a lump sum payment of the proceeds from the sale of general property, the payment may be made in installments with the interest determined by Presidential Decree in consideration of the level of the interest rate of one-year term deposits.(2) The proviso of paragraph (1) shall not apply to the proceeds from the sale of movables among general property.[This Article Wholly Amended on Dec. 26, 2008]",제37조(매각대금의 납부),"① 일반재산의 매각대금은 그 전액을 대통령령으로 정하는 기간에 한꺼번에 내야 한다. 다만, 매각대금 전액을 한꺼번에 내는 것이 곤란하다고 인정되어 대통령령으로 정하는 경우에는 1년 만기 정기예금 금리수준을 고려하여 대통령령으로 정하는 이자를 붙여 분할납부하게 할 수 있다.② 일반재산 중 동산(動産)의 매각대금에 대하여는 제1항 단서를 적용하지 아니한다.[전문개정 2008. 12. 26.]"
Article 38 (Termination of Sales Contract),"(1) Where any purchaser of general property falls under any of the following, the head of a local government may terminate or cancel the relevant sales contract: <Amended on Feb. 4, 2010>1. Where he or she is found to have concluded the relevant contract by making a false statement, submitting any false documentary evidence, or engaging in any other improper conduct;2. In cases of sale prescribed in Article 36 (2), where he or she fails to use the relevant property for its designated purpose or to comply with the period to use it for such designated purpose;3. Where he or she fails to pay the purchase price by the payment deadline prescribed in Article 37 (1).(2) Where the head of a local government terminates or cancels a contract under paragraph (1), he or she shall take necessary measures to restore the relevant rights without delay.(3) Where the purchaser of general property fails to pay the purchase price by the payment deadline prescribed in Article 37 (1), the head of a local government may collect it in the same manner as delinquent local taxes are collected. <Amended on Jan. 7, 2014>[This Article Wholly Amended on Dec. 26, 2008]",제38조(매각계약의 해지 등),"① 지방자치단체의 장은 일반재산을 매수한 자가 다음 각 호의 어느 하나에 해당하면 그 매각계약을 해지하거나 해제할 수 있다. <개정 2010. 2. 4.>1. 거짓 진술, 거짓 증명서류의 제출, 그 밖의 부정한 방법으로 그 계약을 체결한 사실이 발견된 경우2. 제36조제2항에 따라 매각한 경우 매수자가 용도 또는 그 용도대로 사용하여야 할 기간을 지키지 아니한 경우3. 제37조제1항에 따른 납부기한까지 매수대금을 내지 아니한 경우② 지방자치단체의 장이 제1항에 따라 계약을 해지하거나 해제하면 지체 없이 그 권리의 회복에 필요한 조치를 하여야 한다.③ 지방자치단체의 장은 일반재산을 매수한 자가 제37조제1항에 따른 납부기한까지 매수대금을 내지 아니하면 지방세 체납처분의 예에 따라 징수할 수 있다. <개정 2014. 1. 7.>[전문개정 2008. 12. 26.]"
SECTION 4 Exchange,,제4절 교환,
Article 39 (Exchange),"(1) The head of a local government may exchange land, buildings, or other fixtures on land, which is or are general property, with State property, public property of any other local government, or private property in any of the following cases: Provided, That the foregoing shall not apply when the Act on Acquisition of and Compensation for Land, etc. for Public Works Projects is applied: <Amended on Feb. 4, 2010>1. Where the relevant local government directly uses it as property for official or public purposes; or where it is necessary to increase the usefulness of property by keeping small-scale general property in one place for administrative purposes;2. Where it is impracticable to dispose of the relevant property by other methods, such as sale, while it is necessary to increase the value and usability of general property;3. Where the State or another local government requests exchange in order to directly use it for official or public purposes, or on the ground that it is necessary to increase the usefulness of property by keeping small-scale general property in one place for administrative purposes;4. Where it is deemed necessary to vitalize the local economy or to enhance the welfare of local residents, in cases agreed by the local council.(2) The types, prices, etc., of general property exchanged pursuant to paragraph (1) may be restricted, as prescribed by Presidential Decree.(3) Where any property is to be exchanged with another property pursuant to paragraph (1), if the prices of the two are not the same, the difference shall be paid in cash[This Article Wholly Amended on Dec. 26, 2008]",제39조(교환),"① 지방자치단체의 장은 다음 각 호의 어느 하나에 해당하는 경우에는 일반재산인 토지, 건물, 그 밖의 토지의 정착물을 국유재산, 다른 지방자치단체의 공유재산 또는 사유재산과 교환할 수 있다. 다만, 「공익사업을 위한 토지 등의 취득 및 보상에 관한 법률」이 적용되는 경우는 제외한다. <개정 2010. 2. 4.>1. 해당 지방자치단체가 직접 공용ㆍ공공용재산으로 사용하거나 소규모 일반재산을 한 곳에 모아 관리함으로써 재산의 효율성을 높이는 데 필요한 경우2. 해당 지방자치단체에서 일반재산의 가치와 효용도를 높이는 데 필요한 경우로서 매각 등 다른 방법으로 해당 재산의 처분이 곤란한 경우3. 국가 또는 다른 지방자치단체가 직접 공용ㆍ공공용재산으로 사용하거나 소규모 일반재산을 한 곳에 모아 관리함으로써 재산의 효율성을 높이는 데 필요하여 교환을 요청한 경우4. 지역경제 활성화 또는 지역 주민의 복리 증진을 위하여 필요하다고 인정되는 경우로서 지방의회가 동의한 경우② 제1항에 따른 교환을 할 때 교환하는 일반재산의 종류ㆍ가격 등은 대통령령으로 정하는 바에 따라 제한할 수 있다.③ 제1항에 따라 교환하는 경우 양쪽의 가격이 같지 아니할 때에는 그 차액을 금전으로 내야 한다.[전문개정 2008. 12. 26.]"
SECTION 5 Transfer,,제5절 양여,
Article 40 (Transfer),"(1) General property may be transferred in any of the following cases:1. Where the general property is needed to be used for official or public purposes in a Si/Gun/Gu (referring to an autonomous Gu) located in the relevant Special Metropolitan City, Metropolitan City, or Do;2. Where general property, which has been created with a subsidy from the National Treasury or a local subsidy whose use has been designated or with a donation, is to be transferred according to the relevant use;3. In cases of administrative property whose use is repealed, where the administrative property is transferred to a person who has prepared and provided another facility to substitute the said use, or to his or her heir or other general successor;4. Where land located in an urban planning project implementation area is transferred to a local government that has executed the urban planning project;5. In other cases prescribed by Presidential Decree, where the value of assets falls or it is not necessary to possess assets.(2) Where any general property is transferred for any reason prescribed in paragraph (1) 1 or 2, a special agreement shall be registered stating that the transfer agreement shall be canceled should the general property that has been transferred be used for any purpose other than the purpose of the transfer within 10 years.(3) The subject and scope of transfer provided for in paragraph (1) 2 shall be prescribed by Presidential Decree. <Newly Inserted on Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제40조(양여),① 일반재산은 다음 각 호의 어느 하나에 해당하면 양여할 수 있다.1. 해당 특별시ㆍ광역시 또는 도의 구역에 있는 시ㆍ군 또는 구(자치구를 말한다)에서 공용 또는 공공용으로 사용하기 위하여 필요한 경우2. 용도가 지정된 국고보조금ㆍ지방교부세 또는 기부금으로 조성된 일반재산으로서 그 용도에 따라 양여하는 경우3. 행정재산의 용도를 폐지한 경우에 그 용도에 갈음할 다른 시설을 마련하여 제공한 자와 그 상속인 또는 그 밖의 포괄승계인에게 양여하는 경우4. 도시계획사업 집행을 부담한 지방자치단체에 그 도시계획사업시행지구에 있는 토지를 양여하는 경우5. 그 밖에 자산가치가 하락하거나 보유할 필요가 없는 경우로서 대통령령으로 정하는 경우② 제1항제1호 및 제2호에 해당하는 사유로 일반재산을 양여하는 경우에는 양여받은 일반재산이 10년 이내에 그 양여목적 외의 용도로 사용되면 양여계약을 해제한다는 내용의 특약등기를 하여야 한다.③ 제1항제2호에 따른 양여의 대상 및 범위는 대통령령으로 정한다. <신설 2010. 2. 4.>[전문개정 2008. 12. 26.]
